Path;File Condition;Block Condition;Presence Condition;Line Type;start;end
src/lib-config/iconfig.h;1;!IRSSI_LIB_CONFIG_ICONFIG_H;1 && !IRSSI_LIB_CONFIG_ICONFIG_H;endif;160;160
src/lib-config/iconfig.h;1;1;1;artifact;161;161
src/lib-config/module.h;1;1;1;ROOT;1;8
src/lib-config/module.h;1;1;1;artifact;1;7
src/lib-config/parse.c;1;1;1;ROOT;1;355
src/lib-config/parse.c;1;1;1;artifact;1;354
src/lib-config/set.c;1;1;1;ROOT;1;178
src/lib-config/set.c;1;1;1;artifact;1;177
src/lib-config/write.c;1;1;1;ROOT;1;397
src/lib-config/write.c;1;1;1;artifact;1;307
src/lib-config/write.c;1;!DEFINED___LB___POSIX_VERSION__RB__ || _POSIX_VERSION__LT__200809L;1 && (!DEFINED___LB___POSIX_VERSION__RB__ || _POSIX_VERSION__LT__200809L);if;308;308
src/lib-config/write.c;1;!DEFINED___LB___POSIX_VERSION__RB__ || _POSIX_VERSION__LT__200809L;1 && (!DEFINED___LB___POSIX_VERSION__RB__ || _POSIX_VERSION__LT__200809L);artifact;309;309
src/lib-config/write.c;1;!DEFINED___LB___POSIX_VERSION__RB__ || _POSIX_VERSION__LT__200809L;1 && (!DEFINED___LB___POSIX_VERSION__RB__ || _POSIX_VERSION__LT__200809L);endif;310;310
src/lib-config/write.c;1;1;1;artifact;311;318
src/lib-config/write.c;1;!DEFINED___LB___POSIX_VERSION__RB__ || _POSIX_VERSION__LT__200809L;1 && (!DEFINED___LB___POSIX_VERSION__RB__ || _POSIX_VERSION__LT__200809L);if;319;319
src/lib-config/write.c;1;!DEFINED___LB___POSIX_VERSION__RB__ || _POSIX_VERSION__LT__200809L;1 && (!DEFINED___LB___POSIX_VERSION__RB__ || _POSIX_VERSION__LT__200809L);artifact;320;324
src/lib-config/write.c;1;DEFINED___LB___POSIX_VERSION__RB__ && !_POSIX_VERSION__LT__200809L;DEFINED___LB___POSIX_VERSION__RB__ && !_POSIX_VERSION__LT__200809L && 1;else;325;325
src/lib-config/write.c;1;DEFINED___LB___POSIX_VERSION__RB__ && !_POSIX_VERSION__LT__200809L;DEFINED___LB___POSIX_VERSION__RB__ && !_POSIX_VERSION__LT__200809L && 1;artifact;326;326
src/lib-config/write.c;1;DEFINED___LB___POSIX_VERSION__RB__ && !_POSIX_VERSION__LT__200809L;DEFINED___LB___POSIX_VERSION__RB__ && !_POSIX_VERSION__LT__200809L && 1;endif;327;327
src/lib-config/write.c;1;1;1;artifact;328;396
src/otr/irssi-otr.h;1;1;1;ROOT;1;41
src/otr/irssi-otr.h;1;1;1;artifact;1;21
src/otr/irssi-otr.h;1;!IRSSI_IRSSI_OTR_H;1 && !IRSSI_IRSSI_OTR_H;if;22;22
src/otr/irssi-otr.h;1;!IRSSI_IRSSI_OTR_H;1 && !IRSSI_IRSSI_OTR_H;artifact;23;38
src/otr/irssi-otr.h;1;!IRSSI_IRSSI_OTR_H;1 && !IRSSI_IRSSI_OTR_H;endif;39;39
src/otr/irssi-otr.h;1;1;1;artifact;40;40
src/otr/key.c;1;1;1;ROOT;1;407
src/otr/key.c;1;1;1;artifact;1;406
src/otr/key.h;1;1;1;ROOT;1;37
src/otr/key.h;1;1;1;artifact;1;20
src/otr/key.h;1;!IRSSI_OTR_KEY_H;1 && !IRSSI_OTR_KEY_H;if;21;21
src/otr/key.h;1;!IRSSI_OTR_KEY_H;1 && !IRSSI_OTR_KEY_H;artifact;22;34
src/otr/key.h;1;!IRSSI_OTR_KEY_H;1 && !IRSSI_OTR_KEY_H;endif;35;35
src/otr/key.h;1;1;1;artifact;36;36
src/otr/module.h;1;1;1;ROOT;1;31
src/otr/module.h;1;1;1;artifact;1;20
src/otr/module.h;1;!IRSSI_OTR_MODULE;1 && !IRSSI_OTR_MODULE;if;21;21
src/otr/module.h;1;!IRSSI_OTR_MODULE;1 && !IRSSI_OTR_MODULE;artifact;22;28
src/otr/module.h;1;!IRSSI_OTR_MODULE;1 && !IRSSI_OTR_MODULE;endif;29;29
src/otr/module.h;1;1;1;artifact;30;30
src/otr/otr-fe.c;1;1;1;ROOT;1;346
src/otr/otr-fe.c;1;1;1;artifact;1;345
src/otr/otr-fe.h;1;1;1;ROOT;1;30
src/otr/otr-fe.h;1;1;1;artifact;1;21
src/otr/otr-fe.h;1;!IRSSI_OTR_FE_H;1 && !IRSSI_OTR_FE_H;if;22;22
src/otr/otr-fe.h;1;!IRSSI_OTR_FE_H;1 && !IRSSI_OTR_FE_H;artifact;23;27
src/otr/otr-fe.h;1;!IRSSI_OTR_FE_H;1 && !IRSSI_OTR_FE_H;endif;28;28
src/otr/otr-fe.h;1;1;1;artifact;29;29
src/otr/otr-formats.c;1;1;1;ROOT;1;112
src/otr/otr-formats.c;1;1;1;artifact;1;111
src/otr/otr-formats.h;1;1;1;ROOT;1;114
src/otr/otr-formats.h;1;1;1;artifact;1;21
src/otr/otr-formats.h;1;!IRSSI_OTR_FORMATS_H;1 && !IRSSI_OTR_FORMATS_H;if;22;22
src/otr/otr-formats.h;1;!IRSSI_OTR_FORMATS_H;1 && !IRSSI_OTR_FORMATS_H;artifact;23;111
src/otr/otr-formats.h;1;!IRSSI_OTR_FORMATS_H;1 && !IRSSI_OTR_FORMATS_H;endif;112;112
src/otr/otr-formats.h;1;1;1;artifact;113;113
src/otr/otr-module.c;1;1;1;ROOT;1;269
src/otr/otr-module.c;1;1;1;artifact;1;268
src/otr/otr-ops.c;1;1;1;ROOT;1;364
src/otr/otr-ops.c;1;1;1;artifact;1;363
src/otr/otr.c;1;1;1;ROOT;1;945
src/otr/otr.c;1;1;1;artifact;1;944
src/otr/otr.h;1;1;1;ROOT;1;172
src/otr/otr.h;1;1;1;artifact;1;21
src/otr/otr.h;1;!IRSSI_OTR_OTR_H;1 && !IRSSI_OTR_OTR_H;if;22;22
src/otr/otr.h;1;!IRSSI_OTR_OTR_H;1 && !IRSSI_OTR_OTR_H;artifact;23;169
src/otr/otr.h;1;!IRSSI_OTR_OTR_H;1 && !IRSSI_OTR_OTR_H;endif;170;170
src/otr/otr.h;1;1;1;artifact;171;171
src/perl/common/module.h;1;1;1;ROOT;1;47
src/perl/common/module.h;1;1;1;artifact;1;46
src/perl/irc/module.h;1;1;1;ROOT;1;45
src/perl/irc/module.h;1;1;1;artifact;1;44
src/perl/module-fe.h;1;1;1;ROOT;1;6
src/perl/module-fe.h;1;1;1;artifact;1;5
src/perl/module-formats.c;1;1;1;ROOT;1;43
src/perl/module-formats.c;1;1;1;artifact;1;42
src/perl/module-formats.h;1;1;1;ROOT;1;21
src/perl/module-formats.h;1;1;1;artifact;1;20
src/perl/module.h;1;1;1;ROOT;1;22
src/perl/module.h;1;1;1;artifact;1;2
src/perl/module.h;1;NEED_PERL_H;1 && NEED_PERL_H;if;3;3
src/perl/module.h;1;NEED_PERL_H;1 && NEED_PERL_H;artifact;4;4
src/perl/module.h;1;!_SEM_SEMUN_UNDEFINED;1 && NEED_PERL_H && !_SEM_SEMUN_UNDEFINED;if;5;5
src/perl/module.h;1;!_SEM_SEMUN_UNDEFINED;1 && NEED_PERL_H && !_SEM_SEMUN_UNDEFINED;artifact;6;6
src/perl/module.h;1;!_SEM_SEMUN_UNDEFINED;1 && NEED_PERL_H && !_SEM_SEMUN_UNDEFINED;endif;7;7
src/perl/module.h;1;NEED_PERL_H;1 && NEED_PERL_H;artifact;8;13
src/perl/module.h;1;NEED_PERL_H;1 && NEED_PERL_H;endif;14;14
src/perl/module.h;1;1;1;artifact;15;21
src/perl/perl-common.c;1;1;1;ROOT;1;727
src/perl/perl-common.c;1;1;1;artifact;1;726
src/perl/perl-common.h;1;1;1;ROOT;1;84
src/perl/perl-common.h;1;!IRSSI_PERL_PERL_COMMON_H;1 && !IRSSI_PERL_PERL_COMMON_H;if;1;1
src/perl/perl-common.h;1;!IRSSI_PERL_PERL_COMMON_H;1 && !IRSSI_PERL_PERL_COMMON_H;artifact;2;30
src/perl/perl-common.h;1;!pTHX_;1 && !IRSSI_PERL_PERL_COMMON_H && !pTHX_;if;31;31
src/perl/perl-common.h;1;!pTHX_;1 && !IRSSI_PERL_PERL_COMMON_H && !pTHX_;artifact;32;32
src/perl/perl-common.h;1;!pTHX_;1 && !IRSSI_PERL_PERL_COMMON_H && !pTHX_;endif;33;33
src/perl/perl-common.h;1;!IRSSI_PERL_PERL_COMMON_H;1 && !IRSSI_PERL_PERL_COMMON_H;artifact;34;34
src/perl/perl-common.h;1;!aTHX_;1 && !IRSSI_PERL_PERL_COMMON_H && !aTHX_;if;35;35
src/perl/perl-common.h;1;!aTHX_;1 && !IRSSI_PERL_PERL_COMMON_H && !aTHX_;artifact;36;36
src/perl/perl-common.h;1;!aTHX_;1 && !IRSSI_PERL_PERL_COMMON_H && !aTHX_;endif;37;37
src/perl/perl-common.h;1;!IRSSI_PERL_PERL_COMMON_H;1 && !IRSSI_PERL_PERL_COMMON_H;artifact;38;81
src/perl/perl-common.h;1;!IRSSI_PERL_PERL_COMMON_H;1 && !IRSSI_PERL_PERL_COMMON_H;endif;82;82
src/perl/perl-common.h;1;1;1;artifact;83;83
src/perl/perl-core.c;1;1;1;ROOT;1;494
src/perl/perl-core.c;1;1;1;artifact;1;493
src/perl/perl-core.h;1;1;1;ROOT;1;66
src/perl/perl-core.h;1;!IRSSI_PERL_PERL_CORE_H;1 && !IRSSI_PERL_PERL_CORE_H;if;1;1
src/perl/perl-core.h;1;!IRSSI_PERL_PERL_CORE_H;1 && !IRSSI_PERL_PERL_CORE_H;artifact;2;63
src/perl/perl-core.h;1;!IRSSI_PERL_PERL_CORE_H;1 && !IRSSI_PERL_PERL_CORE_H;endif;64;64
src/perl/perl-core.h;1;1;1;artifact;65;65
src/perl/perl-fe.c;1;1;1;ROOT;1;300
src/perl/perl-fe.c;1;1;1;artifact;1;299
