dataset,metric,number_of_variants,ft_percentage,boost,mistake_type,mistake_percentage,shapiro,normally_distributed,ttest,ttest_significant,wilcoxon,wilcoxon_significant
argouml-spl,f1,5,5,False,SwappedCondition,100,0.14762209195081294,True,0.9091857687199781,False,0.8972951536998153,False
argouml-spl,f1,5,5,False,ErroneousConjunction,25,0.09414085731175137,True,7.260583655969157e-14,True,9.313225746154785e-10,True
argouml-spl,f1,5,5,False,ErroneousConjunction,50,0.04820616026633538,False,4.2259312712145175e-11,True,9.313225746154785e-10,True
argouml-spl,f1,5,5,False,ErroneousConjunction,75,0.028353349462891808,False,1.6476931739494085e-08,True,2.3283064365386963e-08,True
argouml-spl,f1,5,5,False,ErroneousConjunction,100,0.1414276725053672,True,2.268278076931378e-05,True,5.529075860977173e-05,True
argouml-spl,f1,5,5,False,SwappedFeature,25,0.0857026774048352,True,7.881807580985057e-12,True,9.313225746154785e-10,True
argouml-spl,f1,5,5,False,SwappedFeature,50,0.09299766517433598,True,1.662986351029441e-07,True,4.991888999938965e-07,True
argouml-spl,f1,5,5,False,SwappedFeature,75,0.056882047197940565,True,0.010740087055460432,True,0.020244861021637917,True
argouml-spl,f1,5,5,False,SwappedFeature,100,0.32958632159313306,True,0.8895083548138807,False,0.8816738277673721,False
argouml-spl,f1,5,5,True,SwappedCondition,25,0.10253702771934459,True,3.9146271102936744e-12,True,9.313225746154785e-10,True
argouml-spl,f1,5,5,True,SwappedCondition,50,0.04410947980599705,False,1.3152331756947914e-07,True,3.4552067518234253e-07,True
argouml-spl,f1,5,5,True,SwappedCondition,75,0.2516187759296451,True,0.008348727954685041,True,0.014662928879261017,True
argouml-spl,f1,5,5,True,SwappedCondition,100,0.22598312583291097,True,0.9110208105731186,False,0.8935335734859109,False
argouml-spl,f1,5,5,True,ErroneousConjunction,25,0.03705828332992809,False,4.305089041518215e-14,True,9.313225746154785e-10,True
argouml-spl,f1,5,5,True,ErroneousConjunction,50,0.05455981538103777,True,3.078137604017472e-11,True,9.313225746154785e-10,True
argouml-spl,f1,5,5,True,ErroneousConjunction,75,0.02831073328363468,False,1.380109933588049e-08,True,1.7695128917694092e-08,True
