dataset,metric,number_of_variants,mistake_type,shapiro,ttest,wilcoxon
OpenVPN,f1,5,ErroneousConjunction,0.0,0.341,0.002
OpenVPN,f1,5,SwappedFeature,0.0,0.033,0.002
OpenVPN,f1,7,SwappedCondition,0.0,0.03,0.056
OpenVPN,f1,7,ErroneousConjunction,0.0,0.006,0.0
OpenVPN,f1,7,SwappedFeature,0.0,0.027,0.045
OpenVPN,precision,3,SwappedCondition,0.0,0.0,0.0
OpenVPN,precision,3,ErroneousConjunction,0.0,0.0,0.0
OpenVPN,precision,3,SwappedFeature,0.0,0.0,0.0
OpenVPN,precision,5,SwappedCondition,0.0,0.011,0.0
OpenVPN,precision,5,ErroneousConjunction,0.0,0.0,0.0
OpenVPN,precision,5,SwappedFeature,0.0,0.0,0.0
OpenVPN,precision,7,SwappedCondition,0.0,0.002,0.001
OpenVPN,precision,7,ErroneousConjunction,0.0,0.0,0.0
OpenVPN,precision,7,SwappedFeature,0.0,0.003,0.0
Vim,f1,3,SwappedCondition,0.0,0.0,0.0
Vim,f1,3,ErroneousConjunction,0.0,0.007,0.0
Vim,f1,3,SwappedFeature,0.0,0.001,0.0
Vim,f1,5,SwappedCondition,0.0,0.007,0.001
Vim,f1,5,ErroneousConjunction,0.0,0.006,0.0
Vim,f1,5,SwappedFeature,0.0,0.009,0.001
Vim,f1,7,SwappedCondition,0.0,0.121,0.885
Vim,f1,7,ErroneousConjunction,0.0,0.033,0.309
Vim,f1,7,SwappedFeature,0.0,0.064,0.338
Vim,precision,3,SwappedCondition,0.0,0.0,0.0
Vim,precision,3,ErroneousConjunction,0.0,0.002,0.0
Vim,precision,3,SwappedFeature,0.0,0.001,0.0
Vim,precision,5,SwappedCondition,0.0,0.005,0.0
Vim,precision,5,ErroneousConjunction,0.0,0.002,0.0
Vim,precision,5,SwappedFeature,0.0,0.003,0.0
Vim,precision,7,SwappedCondition,0.0,0.086,0.355
Vim,precision,7,ErroneousConjunction,0.0,0.013,0.0
Vim,precision,7,SwappedFeature,0.0,0.023,0.005
