dataset,metric,number_of_variants,ft_percentage,boost,shapiro,normally_distributed,ttest,ttest_significant,wilcoxon,wilcoxon_significant
busybox,precision,7,25,True,0.016968012906200817,False,4.023675494981805e-08,True,1.8948097207904354e-06,True
busybox,recall,3,5,False,1.0,True,nan,False,nan,False
busybox,recall,3,5,True,9.109053909750176e-05,False,0.9999410330886495,False,0.9999864920257564,False
busybox,recall,3,10,False,1.0,True,nan,False,nan,False
busybox,recall,3,10,True,2.3436957527446817e-06,False,0.9995801340739784,False,0.9999864920257564,False
busybox,recall,3,15,False,1.0,True,nan,False,nan,False
busybox,recall,3,15,True,5.0429493056532e-07,False,0.9988851420528336,False,0.9999557127115607,False
busybox,recall,3,20,False,1.0,True,nan,False,nan,False
busybox,recall,3,20,True,4.2818089521446126e-07,False,0.9985187209311177,False,0.9997811114027126,False
busybox,recall,3,25,False,1.0,True,nan,False,nan,False
busybox,recall,3,25,True,0.0002672780679915073,False,0.9999851419498379,False,0.9999864920257564,False
busybox,recall,5,5,False,1.0,True,nan,False,nan,False
busybox,recall,5,5,True,1.4865248721309956e-07,False,0.9971309135078462,False,0.9988911392678814,False
busybox,recall,5,10,False,7.76637667465555e-12,False,0.16279099400809693,False,0.15865525393145707,False
busybox,recall,5,10,True,6.750961796747109e-09,False,0.9877773566096156,False,0.9995973618815166,False
busybox,recall,5,15,False,1.0,True,nan,False,nan,False
busybox,recall,5,15,True,4.2984994217250434e-08,False,0.9956388626862283,False,0.9992655750168921,False
busybox,recall,5,20,False,7.76637667465555e-12,False,0.16279099400809693,False,0.15865525393145707,False
busybox,recall,5,20,True,1.0067031004045625e-10,False,0.9392730074034092,False,0.9981491252966553,False
busybox,recall,5,25,False,7.76637667465555e-12,False,0.16279099400809693,False,0.15865525393145707,False
busybox,recall,5,25,True,9.699901564753902e-08,False,0.996563594831339,False,0.9945688876475922,False
busybox,recall,7,5,False,1.0,True,nan,False,nan,False
busybox,recall,7,5,True,1.3465312658313244e-07,False,0.9971142784239666,False,0.9995092301237392,False
busybox,recall,7,10,False,7.76637667465555e-12,False,0.16279099400809674,False,0.15865525393145707,False
busybox,recall,7,10,True,2.1735046272263094e-07,False,0.9980759385765475,False,0.9992631095780624,False
busybox,recall,7,15,False,1.0,True,nan,False,nan,False
busybox,recall,7,15,True,5.206138429743495e-09,False,0.9856314643623879,False,0.9941406572001157,False
busybox,recall,7,20,False,1.0,True,nan,False,nan,False
busybox,recall,7,20,True,1.2298606425110388e-08,False,0.9910214808951336,False,0.9983271909420746,False
busybox,recall,7,25,False,7.76637667465555e-12,False,0.16279099400809685,False,0.15865525393145707,False
busybox,recall,7,25,True,2.7439213295715623e-09,False,0.9843125139681737,False,0.9988911392678814,False
dia,f1,3,5,False,0.008414629121480522,False,5.178667421391129e-23,True,9.313225746154785e-10,True
dia,f1,3,5,True,0.1734014098586375,True,4.404148877979358e-10,True,9.313225746154785e-10,True
dia,f1,3,10,False,0.008544982802116302,False,3.863063704164491e-25,True,9.313225746154785e-10,True
dia,f1,3,10,True,0.8307043260122844,True,7.743795310954656e-13,True,9.313225746154785e-10,True
dia,f1,3,15,False,0.012422137975330195,False,6.966565368798433e-26,True,9.313225746154785e-10,True
dia,f1,3,15,True,0.12312630409833208,True,8.828618132085805e-12,True,9.313225746154785e-10,True
dia,f1,3,20,False,0.002086483401349249,False,3.912027172275297e-26,True,9.313225746154785e-10,True
dia,f1,3,20,True,0.3256141609864831,True,6.7106852562334e-13,True,9.313225746154785e-10,True
dia,f1,3,25,False,0.000379606170748283,False,2.4803924991810242e-26,True,9.313225746154785e-10,True
dia,f1,3,25,True,0.02327426120514832,False,1.0121343324549763e-12,True,9.313225746154785e-10,True
dia,f1,5,5,False,0.018617268151719744,False,8.968032610840236e-17,True,9.313225746154785e-10,True
dia,f1,5,5,True,0.10613805210055421,True,3.87739019216176e-09,True,9.313225746154785e-10,True
dia,f1,5,10,False,0.06393143642186322,True,5.666508242308978e-19,True,9.313225746154785e-10,True
dia,f1,5,10,True,0.04721739263602568,False,2.6538750070008353e-09,True,9.313225746154785e-10,True
dia,f1,5,15,False,0.06783205398302572,True,1.2422457723854942e-18,True,9.313225746154785e-10,True
dia,f1,5,15,True,0.02893196747967682,False,1.0503534234931626e-09,True,9.313225746154785e-10,True
dia,f1,5,20,False,0.09632336623383121,True,1.031031847287774e-17,True,9.313225746154785e-10,True
dia,f1,5,20,True,0.2829629951127271,True,1.2467447769610071e-11,True,9.313225746154785e-10,True
dia,f1,5,25,False,0.13794121689632427,True,1.8753333769739958e-18,True,9.313225746154785e-10,True
dia,f1,5,25,True,0.06219135806749539,True,1.0195779602344927e-11,True,9.313225746154785e-10,True
